hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,kapasitas,port_idle,homepass,home_connected,utilitas,instalation_olt,jumlah_port_olt,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,idle_hp,jumlah_port_terpakai,koordinat
JABAR-MINI.POP.MUTIARA.CIAWI-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. TASIKMALAYA_MUTIARA CIAWI,TASIKMALAYA,KAB. TASIKMALAYA,KEC. CIAWI,PAKEMITANKIDUL,UP3 TASIKMALAYA,ULP RAJAPOLAH,TK 2,INDOOR,HUAWEI,MINI,512,0,712,494,69.38%,18 Dec 2021,16,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR>50%,218,16,"-7.168481, 108.155731"
JABAR-MINI.POP.SURALAYA-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. TASIKMALAYA_SURALAYA,TASIKMALAYA,KAB. TASIKMALAYA,KEC. CIAWI,PASIRHUNI,UP3 TASIKMALAYA,ULP RAJAPOLAH,TK 2,INDOOR,HUAWEI,MINI,512,0,704,517,73.44%,21 Dec 2021,16,,,ON AIR,744,EXISTING CLUSTER,>2 TAHUN,TUR>50%,187,16,"-7.136947, 108.147788"
JABAR-MINI.POP.MANDIRANCAN-HW.MA5801-OLT-01,TK2_RJBB_KAB. KUNINGAN_MANDIRANCAN,CIREBON,KAB. KUNINGAN,KEC. MANDIRANCAN,CIREA,UP3 CIREBON,ULP CILIMUS,TK 2,INDOOR,HUAWEI,MINI,512,0,560,321,57.32%,18 Dec 2021,16,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR>50%,239,16,"-6.80034, 108.46089"
JABAR-MINI.POP.KERTASARI-HW.MA5801-OLT-01,TK2_RJBB_KAB. CIAMIS_KERTASARI CIAMIS,TASIKMALAYA,KAB. CIAMIS,KEC. CIJEUNGJING,KERTASARI,UP3 TASIKMALAYA,ULP CIAMIS,TK 2,INDOOR,HUAWEI,MINI,512,0,528,229,43.37%,28 Dec 2021,16,,,ON AIR,737,EXISTING CLUSTER,>2 TAHUN,TUR <50%,299,16,"-7.32176, 108.37371"
JABAR-MINI.POP.BALOKANG-HW.MA5801-OLT-01,TK2_RJBB_KOTA BANJAR_BALOKANG,TASIKMALAYA,KOTA BANJAR,KEC. BANJAR,BALOKANG,UP3 TASIKMALAYA,ULP BANJAR,TK 2,INDOOR,HUAWEI,MINI,512,0,1000,759,75.90%,28 Dec 2021,16,,,ON AIR,737,EXISTING CLUSTER,>2 TAHUN,TUR>50%,241,16,"-7.37502, 108.51670"
JABAR-MINI.POP.GRAND.MUTIARA-HW.MA5801-OLT-01,TK2_RJBB_KAB. KARAWANG_GRAND MUTIARA KARAWANG,BANDUNG,KAB. KARAWANG,KEC. TELUK JAMBE TIMUR,BELENDUNG,UP3 KARAWANG,ULP KOSAMBI,TK 2,INDOOR,HUAWEI,MINI,512,0,704,504,71.59%,28 Dec 2021,16,,,ON AIR,737,EXISTING CLUSTER,>2 TAHUN,TUR>50%,200,16,"-6.344417, 107.380083"
JABAR-MINI.POP.DESA.CILAKU-HW.MA5801-OLT-01,TK2_RJBB_KAB. CIANJUR_CILAKU,BANDUNG,KAB. CIANJUR,KEC. CILAKU,SUKASARI,UP3 CIANJUR,ULP CIANJUR KOTA,TK 2,INDOOR,HUAWEI,MINI,512,0,808,545,67.45%,28 Dec 2021,16,,,ON AIR,737,EXISTING CLUSTER,>2 TAHUN,TUR>50%,263,16,"-6.87745, 107.130784"
JABAR-MINI.POP.PEPABRI.LELES-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. GARUT_PEPABRI LELES,TASIKMALAYA,KAB. GARUT,KEC. CIBADAK,TALAGASARI,UP3 GARUT,ULP GARUT KOTA,TK 2,INDOOR,HUAWEI,MINI,512,0,688,516,75.00%,18 Dec 2021,16,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR>50%,172,16,"-7.090894, 107.896008"
JABAR-DESA.TANJUNG-RC-OLT-01,SI_RJBB_SUMEDANG_DESA TANJUNG,CIREBON,KAB. SUBANG,KEC. SURIAN,TANJUNG,UP3 PURWAKARTA,ULP SUBANG,SI,OUTDOOR,RAISECOM,MIKRO,256,0,432,320,74.07%,18 Dec 2021,8,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR>50%,112,8,"-6.58958, 107.85863"
JABAR-DS.BUANA.MEKAR-RC-OLT-01,SI_RJBB_SUMEDANG_CIBUGEL,CIREBON,KAB. SUMEDANG,KEC. SELAWI,BUANA MEKAR,UP3 SUMEDANG,ULP SUMEDANG KOTA,SI,OUTDOOR,RAISECOM,MIKRO,256,0,392,340,86.73%,18 Dec 2021,8,,,ON AIR,747,EXISTING CLUSTER,>2 TAHUN,TUR>50%,52,8,"-6.97818, 108.00823"
JABAR-MINI.POP.DESA.BEUSI-HW.MA5801-OLT-01,TK2_RJBB_KAB. MAJALENGKA_Desa Beusi,CIREBON,KAB. MAJALENGKA,KEC. LIGUNG,BEUSI,UP3 SUMEDANG,ULP JATIWANGI,TK 2,INDOOR,HUAWEI,MINI,512,0,720,504,70.00%,28 Dec 2021,16,,,ON AIR,737,EXISTING CLUSTER,>2 TAHUN,TUR>50%,216,16,"-6.70033, 108.26205"
JABAR-MINI.POP.PERUM.JATIBARANG-HW.MA5801-OLT-01,TK2_RJBB_KAB. INDRAMAYU_PERUM JATIBARANG,CIREBON,KAB. INDRAMAYU,KEC. JATIBARANG,BULAK,UP3 INDRAMAYU,ULP JATIBARANG,TK 2,INDOOR,HUAWEI,MINI,512,0,800,528,66.00%,28 Dec 2021,16,,,ON AIR,737,EXISTING CLUSTER,>2 TAHUN,TUR>50%,272,16,"-6.47343, 108.30883"
